Dates,0,1,2,3,4
1994/3/31,-0.00037992,0.002608346,-0.003953953,-0.007703278,0.016281544
1994/4/30,-0.002437658,0.000382323,-0.006153635,-0.002987347,0.012727774
1994/5/31,-0.000976717,0.000526868,0.002835548,-8.73E-05,0.010476808
1994/6/30,-0.004870152,0.003212961,-0.006267475,-0.00182346,0.007489531
1994/7/31,0.00120528,-0.001678567,0.00138114,0.000417939,0.008550906
1994/8/31,0.00188701,-0.004527345,0.007295207,0.003999391,0.010979564
1994/9/30,0.001985109,-0.003284487,-0.009487549,0.001491107,0.007676625
1994/10/31,0.005527962,-0.002402004,-0.006678515,0.000670469,0.005704141
1994/11/30,-0.003261481,0.00011896,-0.022987141,0.001953564,0.011360863
1994/12/31,0.000611405,0.000830644,-0.011724247,0.007178079,0.002948844
1995/1/31,0.002433606,0.001357084,0.034682833,-0.001114235,0.012441606
1995/2/28,0.003089594,-0.00342939,0.001295731,0.006369744,0.007495574
1995/3/31,0.004091146,-0.0017624,-0.000900363,0.004378406,0.008102546
1995/4/30,-0.004199173,5.30E-06,0.015260263,0.001900874,0.005577336
1995/5/31,-2.59E-05,0.001324907,0.013777366,0.006560011,0.009275893
1995/6/30,0.00431707,-0.003925248,0.010498311,0.008880494,0.003040473
1995/7/31,0.003006859,-0.003138554,0.024909548,0.002264557,0.007515513
1995/8/31,-0.00024614,0.002307057,0.02554353,0.008947596,0.006756325
1995/9/30,0.006543612,-0.000224617,0.013239663,0.006362847,0.006484255
1995/10/31,0.004016501,-4.76E-05,-0.027511264,-0.00392463,0.012528779
1995/11/30,-0.005035877,0.003655517,0.009588702,0.007694222,0.004191601
1995/12/31,-0.007233101,0.0118199,0.031644288,0.018450038,-0.001378801
1996/1/31,0.007809728,0.004632684,0.033447327,0.014978885,0.00041114
1996/2/29,0.002260781,0.000604493,0.026445923,0.002465652,0.009475535
1996/3/31,0.001984113,0.004873781,0.022288375,0.005952583,-0.001948729
1996/4/30,-0.001301137,-0.00206471,0.020241514,0.00982188,-0.000464439
1996/5/31,0.008132611,0.001280148,0.038376528,0.008868978,0.000332484
1996/6/30,0.006527539,0.004095999,-0.010761268,0.000108956,0.005987045
1996/7/31,0.00137493,0.003635527,-0.033819382,-0.004894132,0.01640599
1996/8/31,-0.003525238,-0.00189877,0.006959273,0.008582752,0.008221199
1996/9/30,0.001990878,-0.002716817,0.001815346,0.006274855,0.007549861
1996/10/31,-0.003304967,0.005160169,-0.000534788,0.006014803,0.005828336
1996/11/30,-0.004337469,-0.00208388,0.009570828,0.001601972,0.008551293
1996/12/31,-0.005045209,0.001566143,-0.016012866,0.014561678,0.000423179
1997/1/31,0.001543983,-0.002224135,0.045796826,-0.002946196,0.011243416
1997/2/28,-0.001408613,0.00487659,0.013770001,-0.001321263,0.004983981
1997/3/31,-0.004717016,0.00205538,-0.025328301,-0.003507623,0.00989707
1997/4/30,0.001163234,-0.003282168,-0.024000607,-0.004269486,0.017537426
1997/5/31,-0.006939311,-0.004208122,0.02460697,0.015211217,0.002501173
1997/6/30,0.001587517,0.002272098,0.019867904,0.00861372,-0.000151019
1997/7/31,-0.001124333,-0.005059528,0.007644353,0.00215075,0.008269049
1997/8/31,-0.005810546,0.003054282,0.028437547,0.006577256,0.001565867
1997/9/30,-0.006397511,0.002923872,0.048793697,0.009439185,-0.001578446
1997/10/31,0.004345297,0.004005352,-0.000783141,0.002184045,0.006225331
1997/11/30,0.005039914,0.001234185,-0.018601272,0.003992354,0.002971653
1997/12/31,0.001223776,0.004405425,-0.021301603,0.008114293,0.009580488
1998/1/31,0.008234803,-0.000304118,0.009768978,0.004000539,0.011726046
1998/2/28,0.001545707,-0.002325938,0.018418345,0.010122444,0.004643867
1998/3/31,0.003564358,0.006223081,0.037346493,0.013910502,0.000953533
1998/4/30,0.00317244,-0.003356989,-0.006409696,0.009312668,0.002221339
1998/5/31,0.001572384,0.007501118,0.001097682,0.002643578,0.007890707
1998/6/30,0.007341155,-0.004302154,-0.045874853,0.004991404,0.011683543
1998/7/31,0.005264604,0.002053356,-0.017485993,-0.005703995,0.015379072
1998/8/31,0.001389549,0.001141739,-0.101147665,-0.006324541,0.026180173
1998/9/30,-0.004811164,-0.005697226,-0.00834416,0.010651763,0.023555934
1998/10/31,-0.001795614,-0.002014421,0.024082053,-0.000553391,0.022306615
1998/11/30,0.007330252,-0.001538626,0.041412233,0.003705832,0.009284971
1998/12/31,0.004194833,-0.00323457,-0.01165967,0.007454041,0.009136821
1999/1/31,0.017350775,-0.003356979,0.050131725,-0.002844326,0.010355166
1999/2/28,0.005954017,5.48E-05,-0.016658347,-0.004902963,0.017973867
1999/3/31,0.003833911,-0.009080438,-0.041972077,-0.006617893,0.017408317
1999/4/30,-0.012610041,-0.003384454,0.027298156,0.004028535,0.001070545
1999/5/31,0.000253452,0.00516709,0.044098417,0.008408075,0.003156423
1999/6/30,0.000203928,-0.004814469,-0.008946425,0.011174082,0.000263783
1999/7/31,-0.002577097,0.005116214,0.028146223,0.002116025,0.008831335
1999/8/31,-0.001407996,-0.00234742,-0.033924031,0.007479656,0.009262955
1999/9/30,0.004148397,-0.00527377,-0.037621553,0.002908056,0.008388596
1999/10/31,0.00570159,-0.006227158,-0.021583173,-0.003731974,0.027632422
1999/11/30,0.003432506,-0.002067246,0.056372714,0.00628688,0.006397998
1999/12/31,0.008173015,-0.007170195,0.009480808,0.021065477,-0.01000213
2000/1/31,0.01092972,-0.000825189,0.050564939,0.017634379,-0.001143501
2000/2/29,-0.006408976,-0.019104398,-0.005245102,0.019441298,0.003041978
2000/3/31,0.009077748,0.000191332,0.018968834,-0.005733676,0.017398235
2000/4/30,-3.85E-05,0.000520855,-0.050887524,0.004379067,0.015743991
2000/5/31,-0.002108607,0.007513885,-0.019663465,0.013467826,0.008588978
2000/6/30,-0.007029852,-0.01274437,-0.028824218,0.013931708,0.014937874
2000/7/31,-0.00134954,0.004001489,0.001394249,0.007212774,0.014098769
2000/8/31,-0.0006974,-0.004923483,0.010440316,0.015180944,0.013135821
2000/9/30,-0.007318426,0.012438993,0.006135104,0.014935672,-0.002162411
2000/10/31,-0.004070141,0.007027308,-0.009926881,0.006773803,0.011576127
2000/11/30,-0.010188099,0.018033315,-0.022259574,0.017274508,0.008729636
2000/12/31,-0.011420102,-3.35E-05,-0.039756867,0.011625593,0.010456148
2001/1/31,-0.008124118,-0.004721571,0.211023737,-0.02644005,0.061541472
2001/2/28,-0.007403386,0.014111345,0.00955274,0.007568029,0.012511138
2001/3/31,-0.003759067,0.002103699,-0.051796843,0.014708993,0.005344213
2001/4/30,0.005787664,-0.006187303,0.024116368,0.008133481,0.021683535
2001/5/31,0.003447102,0.004005251,0.043848278,0.021576751,0.007617373
2001/6/30,0.001390248,0.001581754,-0.001184261,0.013186849,0.001526452
2001/7/31,0.003145686,0.005287408,-0.002169716,0.006946827,0.004647924
2001/8/31,-0.002657122,-0.001259968,-0.04186599,0.015124411,0.013584048
2001/9/30,-0.001848334,0.007396486,-0.036185694,-0.001081773,0.020787057
2001/10/31,0.000924857,0.000714859,0.083789929,-0.007173881,0.029871119
2001/11/30,0.00394337,-0.005299891,0.039857603,0.002699439,0.018377192
2001/12/31,0.000720738,0.005073168,0.063555086,0.004965476,0.012062624
2002/1/31,0.010141059,-0.001950152,0.008662041,0.010024529,0.001787133
2002/2/28,-0.005477311,0.003543478,-0.019636777,0.009876727,0.000319289
2002/3/31,-0.005412868,-0.007208731,0.013591634,0.005380295,0.002349016
2002/4/30,-0.010513508,-0.002939042,-0.02321117,0.007978314,0.006806345
2002/5/31,0.01183662,0.003595211,-0.002822792,0.005993385,0.008801181
2002/6/30,-0.007519148,0.000834553,-0.054718649,0.012645516,0.013499932
2002/7/31,0.007822053,0.003131917,-0.036563343,-0.004737224,0.02990431
2002/8/31,0.000977885,0.001673565,0.019487271,0.004763258,0.023182385
2002/9/30,0.000845152,0.000391775,-0.052971523,0.001245377,0.010024857
2002/10/31,0.000840547,0.002317345,0.073029275,-0.006751969,0.022045419
2002/11/30,-0.010204423,0.000887463,0.131222369,-0.011576663,0.0184263
2002/12/31,0.003574202,0.00882633,-0.002376714,0.007223474,0.004236888
2003/1/31,0.00673871,0.003817823,0.028313655,-0.000974753,0.004489142
2003/2/28,0.006655687,-0.001037224,-0.023016238,0.006361807,0.003134606
2003/3/31,0.000985344,0.000206642,0.008278729,0.009871067,0.010758153
2003/4/30,-0.005136455,-0.00448803,0.056959297,0.002337123,0.014855914
2003/5/31,0.001430465,-0.00056627,0.098257765,0.020043411,0.003657121
2003/6/30,0.006898212,0.00191762,0.047393469,0.003795572,0.00742471
2003/7/31,-0.001218651,-0.008450935,0.012858864,0.003197515,0.004602183
2003/8/31,0.005650887,-0.003419515,0.023565255,-0.001886049,0.004138739
2003/9/30,0.005689112,0.003978886,0.041553423,0.008435842,0.004574825
2003/10/31,-0.00109071,-0.004200114,0.037118651,-0.002319677,-0.000588523
2003/11/30,-0.002419533,6.54E-05,0.023947519,-0.000504233,0.004155019
2003/12/31,0.000358963,0.003491121,0.035291298,0.003887347,0.001644595
2004/1/31,0.008703722,-0.001664954,0.043865599,0.008541806,-0.008978651
2004/2/29,-0.004114881,0.003349248,0.005182259,0.011316115,-0.002375262
2004/3/31,-0.001875437,0.000669263,-0.008132095,0.009838747,0.001997993
2004/4/30,0.000508377,0.00486908,-0.018420818,0.020589458,-0.00885842
2004/5/31,0.00397849,-0.003752566,-0.015771512,-0.000390668,0.006888639
2004/6/30,-0.002542786,-0.004205851,-0.005739597,0.000859544,0.00222033
2004/7/31,-0.00200798,0.001948042,-0.035801257,0.001098198,0.007462039
2004/8/31,-0.003744331,0.000955271,-0.009258052,0.006960921,0.007230546
2004/9/30,-0.001110162,-0.00372024,0.003378763,0.001476404,0.004261257
2004/10/31,0.000170961,-0.000539022,0.01075723,-0.001306366,0.001590567
2004/11/30,-0.001049279,-0.011375362,-0.003724666,0.012673998,-0.003565646
2004/12/31,0.00470653,-0.000425498,0.042574684,0.001037913,-0.003058767
2005/1/31,-0.003584763,0.006427125,9.56E-05,0.003951452,-0.000462555
2005/2/28,-0.001813586,-0.001278417,-0.003679006,-0.000393718,0.000621587
2005/3/31,0.000924018,0.001974085,-0.017235898,0.006774282,0.006012724
2005/4/30,0.002701488,0.003345925,-0.026218677,0.008360678,0.002002301
2005/5/31,-0.001487956,-0.001748858,0.025373312,-0.000542653,0.012247944
2005/6/30,-0.003003662,-0.001729843,0.006997851,0.003736521,0.004973605
2005/7/31,-0.006918115,-0.004811814,0.015540799,0.006602046,0.006247099
2005/8/31,0.000577333,-0.00030555,-0.01827749,0.010621969,0.002309586
2005/9/30,0.002976584,-0.000221489,-0.006416719,0.00940163,0.000538208
2005/10/31,0.001883519,0.001428125,-0.012437185,0.001828901,0.007275856
2005/11/30,0.000525984,-0.001501658,0.011872893,0.005132512,0.004783514
2005/12/31,0.00160197,0.001505036,0.006340567,0.004964837,-0.001155174
2006/1/31,-0.002439142,-0.005112191,0.027642237,-0.002117529,-0.002898121
2006/2/28,0.001914688,0.001251384,0.00520893,0.009420754,0.004663307
2006/3/31,-0.00115311,-0.003796828,0.004146782,0.00292807,0.00078359
2006/4/30,0.001380098,-0.00165163,-0.003742501,-0.003607529,-0.000229255
2006/5/31,-0.001457737,0.003655094,-0.014497721,-0.000285736,0.007617463
2006/6/30,0.001901833,-0.002918596,-0.021218112,0.002477906,0.005549327
2006/7/31,-0.000477596,0.002353966,-0.013077028,0.000799627,0.009127526
2006/8/31,-0.000260506,0.001095334,0.012790314,0.011086519,0.0047875
2006/9/30,0.00314271,0.00161658,0.007169975,0.00322117,0.001854156
2006/10/31,-0.002605493,-0.001598586,0.013942524,0.007514817,1.25E-05
2006/11/30,-0.003175367,-0.000972029,0.003057697,0.005101252,0.002957353
2006/12/31,0.002887382,0.00084513,0.005755758,0.004978492,4.55E-05
2007/1/31,0.004171228,0.002107197,0.01932351,0.005819602,-0.004129801
2007/2/28,-0.000590311,0.002906783,0.012815459,0.002767397,0.002992174
2007/3/31,-0.002455242,0.000572342,-0.007605934,0.005916975,0.004078394
2007/4/30,0.00399856,0.002222713,0.00892548,0.01307823,-0.006375904
2007/5/31,-0.003517651,-0.002427797,-0.007360682,0.008209232,0.000205738
2007/6/30,0.000536893,0.000665568,0.000490592,-0.0037455,0.004466642
2007/7/31,0.005897547,0.004494826,-0.008529769,-0.002378055,0.001720698
2007/8/31,-0.003292632,-0.003962512,-0.033098353,0.011121731,0.010790163
2007/9/30,0.002539741,0.001266606,0.014190938,-0.004432286,0.003229805
2007/10/31,0.000999822,-0.002334073,-0.01802884,0.012673021,-0.001915735
2007/11/30,-0.00057451,0.001681891,-0.047188341,0.003988949,0.016243762
2007/12/31,-0.001213449,-4.19E-06,-0.01140498,0.00035848,0.009762111
2008/1/31,-0.003879971,-0.003079522,-0.025972545,-0.008533707,0.014487304
2008/2/29,0.004224251,-0.000202614,-0.015167371,0.003630625,0.009301391
2008/3/31,-0.003410486,-0.003782641,-0.024535681,-0.003250168,0.017576679
2008/4/30,0.002286992,-0.00031403,0.004782552,0.005652281,0.005493633
2008/5/31,0.001464074,-0.000762783,-0.000406216,0.016885717,0.002693288
2008/6/30,0.00286424,0.005002938,-0.039570053,-0.001464257,0.008636649
2008/7/31,-0.014743343,-0.006163911,-0.024917692,0.015957838,0.017882178
2008/8/31,-0.000941886,-0.001147972,0.004822528,0.004484857,0.014947018
2008/9/30,-0.008419879,-0.003698679,-0.073765613,-0.008188265,0.027224207
2008/10/31,-0.001241743,-0.000538437,-0.095441072,-0.019628495,0.036170651
2008/11/30,0.002782761,0.001028576,-0.081430035,0.008567421,0.031596522
2008/12/31,-0.006244075,0.00239358,0.020742036,0.021218281,0.043681384
2009/1/31,0.016392042,0.006710563,0.014398155,0.018359631,0.007763105
2009/2/28,0.006389951,0.003585381,-0.053985339,0.0009847,0.02084022
2009/3/31,0.002371974,0.000763103,0.110046849,-0.01379781,0.051889181
2009/4/30,0.006971899,0.005066572,0.134992704,0.019469089,-0.008853262
2009/5/31,0.000950826,0.003221891,0.08822975,0.004329447,0.024116951
2009/6/30,0.007000886,0.001534048,0.017700571,0.024406396,0.006582139
2009/7/31,-0.002184839,0.001519909,0.06048813,0.008613539,0.000431817
2009/8/31,0.00356483,-0.001491388,0.060866105,0.000641694,0.007040934
2009/9/30,0.003359704,0.001789734,0.061467553,0.002166349,0.010388217
2009/10/31,0.011493917,0.005051463,-0.022472977,0.002236569,0.003797473
2009/11/30,0.001437321,-0.001134218,0.000979571,0.010756181,-0.00014125
2009/12/31,-0.004754611,-0.004947987,0.026056822,0.005232798,0.00606004
2010/1/31,-0.001380121,0.000791749,0.020729974,-0.006992669,0.006892413
2010/2/28,-9.66E-05,-0.001776441,0.004419317,0.006570235,-0.000578931
2010/3/31,0.001284056,-0.00209568,0.02180328,0.017839613,-0.004150669
2010/4/30,-0.005376824,-0.000315958,0.0621753,-0.009373085,-0.00019433
2010/5/31,0.001473954,0.002089383,-0.041530726,0.001069968,0.008479674
2010/6/30,0.003332112,0.004759573,-0.033923502,0.004529694,0.008929914
2010/7/31,-0.000790282,-0.002769776,0.024475901,0.003087635,0.005944895
2010/8/31,0.006462949,0.003375116,-0.036974371,0.010494568,0.000152406
2010/9/30,-0.001523535,-0.000792063,0.059627056,0.00596215,0.003083471
2010/10/31,9.61E-05,-0.000198248,0.018514098,0.006702245,-0.005400123
2010/11/30,-0.003771829,-0.001430587,-0.00619498,0.004932479,-0.000603405
