date,q5mkt,q5me,q5ia,q5roe,q5eg
200710,1.8018,0.377,0.4577,1.2265,0.3453
200711,-4.8017,-3.0218,0.1851,3.588,1.4361
200712,-0.8795,0.6489,-0.6012,2.3193,1.0642
200801,-6.3719,-0.7217,1.3807,-0.2969,-0.8164
200802,-3.0844,-0.8748,-1.5137,1.7981,1.36
200803,-0.9534,0.5805,-0.353,2.3754,-0.0305
200804,4.6755,-0.9362,-2.312,-0.8075,3.3207
200805,1.942,2.5324,-0.3546,-0.3367,0.0761
200806,-8.4289,1.8834,-0.1934,6.3621,1.0367
200807,-0.7584,5.9805,1.8218,0.013,-0.0734
200808,1.5211,1.8217,0.9425,-0.8718,2.079
200809,-9.2921,0.6309,3.1596,1.5906,3.4517
200810,-17.1779,-3.4757,1.0558,5.8964,6.7538
200811,-7.7501,-5.2005,0.5052,3.5072,2.1843
200812,1.7427,3.6023,-2.345,-0.5559,-0.8413
200901,-8.1113,-2.9342,-0.9212,-0.7728,2.4051
200902,-10.0887,-1.5731,-1.854,2.9625,2.8875
200903,8.9657,0.9871,-0.448,-3.3694,0.0801
200904,10.1649,7.2758,3.5028,-13.8308,-1.7967
200905,5.2051,-1.3216,-2.419,-3.3204,-0.5583
200906,0.4284,3.7486,0.5164,0.8967,2.4952
200907,7.7115,1.6912,1.9782,-4.8912,-1.0287
200908,3.3288,0.8676,2.2617,-2.6003,-1.5815
200909,4.0766,2.4647,-1.155,-2.8169,-2.6301
200910,-2.5535,-4.6122,-0.2446,3.9462,2.9368
200911,5.5694,-2.3833,-0.3542,1.0291,-0.3254
200912,2.746,4.8164,-0.183,-1.8549,-0.126
201001,-3.3494,0.3752,0.6789,-1.067,-0.6848
201002,3.3894,1.5236,0.7583,-1.0406,-0.5169
201003,6.3066,2.0221,1.5744,-0.5104,-1.6988
201004,1.9985,3.9038,3.0529,-2.4888,-2.3485
201005,-7.8914,0.048,-0.4512,2.7156,1.7369
201006,-5.5538,-2.3714,-2.4633,1.3288,1.9251
201007,6.9088,0.4811,1.2242,-0.8529,0.3616
201008,-4.7708,-3.6375,-1.777,-0.5599,-0.6431
201009,9.5407,3.9473,1.1549,0.5214,0.0482
201010,3.8695,0.6884,-0.0068,0.6453,0.4416
201011,0.5951,3.6487,1.8594,-0.0799,-0.6138
201012,6.8138,0.4459,3.0261,-3.6697,-2.2435
201101,1.9892,-2.0115,1.316,0.5566,-1.3438
201102,3.4831,1.3916,1.4321,-1.6578,-0.8146
201103,0.4538,1.8477,-0.1252,-0.9511,0.2831
