,x_tbl,x_dfy,x_tms,x_svar,x_ill,x_infl,x_dy,x_lev,x_ep,x_ni,x_rf
1981/10/31,0.991666667,0.708333333,0.125,0.666666667,0.841666667,0.75,0.858333333,0.9,0.741666667,0.975,1.21
1981/11/30,0.933333333,0.7,0.333333333,0.675,0.716666667,0.766666667,0.975,0.975,0.866666667,0.983333333,1.07
1981/12/31,0.908333333,0.825,0.366666667,0.65,0.641666667,0.683333333,0.883333333,0.941666667,0.791666667,1,0.87
1982/1/31,0.833333333,0.983333333,0.5,0.616666667,0.633333333,0.591666667,0.791666667,0.858333333,0.716666667,0.991666667,0.8
1982/2/28,0.825,1,0.7625,0.583333333,0.716666667,0.525,0.833333333,0.908333333,0.75,0.991666667,0.92
1982/3/31,0.875,0.895833333,0.608333333,0.591666667,0.566666667,0.491666667,0.908333333,0.975,0.866666667,0.975,0.98
1982/4/30,0.9,0.883333333,0.408333333,0.591666667,0.391666667,0.433333333,0.991666667,1,0.966666667,1,1.13
1982/5/31,0.866666667,0.991666667,0.5,0.583333333,0.391666667,0.366666667,0.991666667,1,0.966666667,0.983333333,1.06
1982/6/30,0.866666667,0.995833333,0.466666667,0.591666667,0.441666667,0.291666667,1,0.983333333,0.858333333,0.95,0.96
1982/7/31,0.841666667,1,0.558333333,0.583333333,0.425,0.366666667,1,1,0.916666667,0.941666667,1.05
1982/8/31,0.85,0.925,0.5875,0.6,0.4,0.391666667,1,1,0.941666667,0.941666667,0.76
1982/9/30,0.783333333,0.958333333,0.733333333,0.591666667,0.475,0.266666667,1,1,0.916666667,0.916666667,0.51
1982/10/31,0.65,1,1,0.766666667,0.483333333,0.158333333,0.958333333,0.95,0.666666667,0.925,0.59
1982/11/30,0.55,1,1,0.725,0.741666667,0.058333333,0.95,0.941666667,0.625,0.9,0.63
1982/12/31,0.508333333,0.9875,0.983333333,0.816666667,0.758333333,0.058333333,0.816666667,0.841666667,0.35,0.833333333,0.67
1983/1/31,0.591666667,0.991666667,0.975,0.883333333,0.791666667,0.033333333,0.691666667,0.708333333,0.3,0.85,0.69
1983/2/28,0.541666667,0.941666667,0.895833333,0.883333333,0.808333333,0.016666667,0.658333333,0.65,0.266666667,0.85,0.62
1983/3/31,0.516666667,0.8875,0.975,0.883333333,0.841666667,0.008333333,0.508333333,0.625,0.158333333,0.858333333,0.63
1983/4/30,0.591666667,0.816666667,0.725,0.875,0.983333333,0.008333333,0.45,0.533333333,0.141666667,0.833333333,0.71
1983/5/31,0.616666667,0.775,0.708333333,0.866666667,0.966666667,0.016666667,0.35,0.425,0.108333333,0.866666667,0.69
1983/6/30,0.583333333,0.720833333,0.691666667,0.866666667,0.958333333,0.041666667,0.283333333,0.308333333,0.066666667,0.866666667,0.67
